family,variant,replicates,model_latency_ms_median,throughput_hz,policy_wall_ms_median,cuda_peak_allocated_gb,cuda_peak_reserved_gb,total_parameters_billion,process_vram_gb
baseline,installed_package_8_workers_per_pod,16,13.676,73.12,112.800,0.223430,0.246094,0.216073,0.890625
baseline,single_gpu_pod_control,16,13.577,73.65,21.170,0.223430,0.246094,0.216073,0.890625
text_tokens,8,8,13.008,76.88,16.250,0.223429,,0.216073,0.890625
text_tokens,32,8,12.342,81.03,17.725,0.223441,,0.216073,0.890625
text_tokens,64,8,13.056,76.59,14.755,0.223459,,0.216073,0.890625
text_tokens,128,8,12.705,78.71,16.441,0.223501,,0.216073,0.890625
text_tokens,256,8,15.238,65.63,16.688,0.225038,,0.216073,0.890625
action_horizon,8,8,12.616,79.26,,0.223439,,0.216072,0.890625
action_horizon,12,8,12.342,81.03,17.725,0.223441,,0.216073,0.890625
action_horizon,15,8,12.524,79.84,,0.223442,,0.216074,0.890625
action_horizon,50,8,12.771,78.32,,0.223460,,0.216083,0.890625
interaction_layers,0,8,9.111,109.76,,0.196968,0.218750,0.201861,0.875000
interaction_layers,2,8,10.203,98.01,,0.205792,0.228516,0.206598,0.878906
interaction_layers,4,8,11.345,88.14,,0.214616,0.236328,0.211336,0.882812
interaction_layers,6,8,12.342,81.03,17.725,0.223441,,0.216073,0.890625
interaction_layers,8,8,13.947,71.72,,0.232265,0.253906,0.220811,0.898438
image_resolution_n2,224,8,10.567,94.64,12.539,0.203631,0.224609,0.206598,0.878906
image_resolution_n2,256,8,10.203,98.01,,0.205792,0.228516,0.206598,0.878906
image_resolution_n2,320,8,10.286,97.22,14.014,0.211119,0.230469,0.206598,0.878906
image_resolution_n2,384,8,11.034,90.63,12.419,0.217681,0.238281,0.206598,0.882812
image_resolution_n2,448,8,10.635,94.03,12.175,0.226199,0.242188,0.206598,0.886719
image_resolution_n2,512,8,10.412,96.04,14.791,0.235515,0.263672,0.206598,0.908203
endurance_n6,256_1m_model_100k_wall,8,12.349,80.98,62.643,0.223441,0.246094,0.216073,0.890625
image_resolution_n6,512,8,13.031,76.80,19.135,0.253163,0.281250,0.216073,0.925781
endurance_n2,512_600k_model_50k_wall,8,10.165,98.38,81.759,0.235515,0.263672,0.206598,0.908203
endurance_n6,512_300k_model_20k_wall,8,12.575,79.52,66.764,0.253163,0.281250,0.216073,0.925781
image_resolution_n6,448,8,13.219,75.65,15.234,0.243847,0.259766,0.216073,0.904297
endurance_n2,448_150k_model_10k_wall,8,10.305,97.04,30.637,0.226199,0.242188,0.206598,0.886719
endurance_n6,448_100k_model_5k_wall,8,12.646,79.08,31.842,0.243847,0.259766,0.216073,0.904297
